,ADDRESSBLOCKHOUSENUMBER,LATITUDE,EST_ORIGINAL_COMPLETION_DATE,STATUS,NO_OF_FOOD_STALLS,REGION,APPROXIMATE_GFA,LONGITUDE,NO_OF_MARKET_STALLS,DESCRIPTION,NAME,RNR_STATUS,ADDRESSSTREETNAME,ADDRESSPOSTALCODE,PLN_AREA_N,PLN_AREA_C,REGION_N,REGION_C,LON,LAT
22, 20  ,1.36422801,1/1/1972,Existing,36,North,613.55,103.8665314,0,HUP Standard Upgrading,Chomp Chomp Food Centre,Completed,Kensington Park Road,557269,SERANGOON,SG,NORTH-EAST REGION,NER,103.866536130299,1.36422852315868
23, 448  ,1.31334996,12/1/1980,Existing,51,West,,103.7645874,105,HUP Standard Upgrading,Clementi Ave 3 Blk 448,Completed,Clementi Ave 3,120448,CLEMENTI,CL,WEST REGION,WR,103.764510533078,1.31326486994113
24, 1A/2A/3A  ,1.29955006,16/11/1981,Existing,40,West,,103.7980194,0,HUP Standard Upgrading,Commonwealth Drive Blk 1A/2A/3A (Tanglin Halt Food Centre/Commonwealth Drive Food Centre),Completed,Commonwealth Drive,141001,QUEENSTOWN,QT,CENTRAL REGION,CR,103.797875477439,1.29971330531884
25, 4A  ,1.30243003,3/1/1969,Existing,52,East,,103.8839798,53,HUP Standard Upgrading,Jalan Batu Blk 4A (Blk 4A Jalan Batu Hawker Centre/Market),Completed,Jalan Batu,432004,KALLANG,KL,CENTRAL REGION,CR,103.88394058022,1.30241881353449
26, 17  ,1.30711246,1/1/1959,Existing,16,East,2629.19,103.8841476,78,HUP Standard Upgrading,Kallang Estate Fresh Market and Food Centre,Completed,Old Airport Road,397972,GEYLANG,GL,CENTRAL REGION,CR,103.884130183315,1.30739616009942
27, 676  ,1.440119,8/5/2017,Existing (new),43,North,3440,103.800735,0,New Centre,Kampung Admiralty Hawker Centre,,Woodlands Drive 71,730676,WOODLANDS,WD,NORTH REGION,NR,103.800696448529,1.43993283228134
28, 49A  ,1.3635400500000001,1/1/1957,Existing,46,North,2448.2,103.8669815,36,HUP Rebuilding,Serangoon Garden Market,01/03/2021 to 31/5/2021,Serangoon Garden Way,555945,SERANGOON,SG,NORTH-EAST REGION,NER,103.866737484646,1.3631571201113
29, 1220  ,1.30772996,1/1/1978,Existing,63,East,3600.16,103.9343033,0,HUP Rebuilding,East Coast Lagoon Food Village,2/11/2020 to 1/02/2021,East Coast Parkway,468960,BEDOK,BD,EAST REGION,ER,103.93501674725,1.30668431820832
30, 7  ,1.31631005,26/3/1976,Existing,40,West,,103.805687,68,HUP Standard Upgrading,Empress Road Blk 7 (Empress Road Market and Food Centre),Completed,Empress Road,260007,BUKIT TIMAH,BT,CENTRAL REGION,CR,103.805636386821,1.31624573118373
31, 4A  ,1.320292,7/7/2000,Existing,42,East,,103.9042206,71,HUP Standard Upgrading,Eunos Crescent Blk 4A,Completed,Eunos Crescent,402004,GEYLANG,GL,CENTRAL REGION,CR,103.904260878989,1.32033178221424
32, 69  ,1.32152998,16/1/1974,Existing,84,East,,103.8700714,127,Opted out of HUP,Geylang Bahru Blk 69 (Blk 69 Geylang Bahru Market and Food Centre),Completed,Geylang Bahru,330069,KALLANG,KL,CENTRAL REGION,CR,103.870004415152,1.32146226027018
33,   ,1.31688809,3/7/2009,Existing,63,East,11534.9,103.8974075,302,HUP Rebuilding,Geylang Serai Market,Completed,Geylang Serai,402001,GEYLANG,GL,CENTRAL REGION,CR,103.898224315881,1.3167281476983
34, 20  ,1.31105995,24/1/1977,Existing,72,West,,103.7882919,158,Opted out of HUP,Ghim Moh Road Blk 20,Completed,Ghim Moh Road,270020,QUEENSTOWN,QT,CENTRAL REGION,CR,103.788230657145,1.31099627311591
