,Name,Description,geometry
51,kml_52,Attributes LIC_NAME COLD STORAGE SINGAPORE (1983) PTE LTD  BLK_HOUSE 1  STR_NAME VISTA EXCHANGE GREEN  UNIT_NO   POSTCODE 138617  LIC_NO SW12J97L000  INC_CRC A0FE827922FA7CEA  FMEL_UPD_D 20171129183654 ,POINT Z (103.788214538525 1.30684882667818 0)
52,kml_53,Attributes LIC_NAME FOODIE MARKET PLACE PTE. LTD.  BLK_HOUSE 225  STR_NAME OUTRAM ROAD  UNIT_NO   POSTCODE 169038  LIC_NO CE10I13B000  INC_CRC F07E9FCD9F10FF17  FMEL_UPD_D 20171129183654 ,POINT Z (103.835371310094 1.28345077313013 0)
53,kml_54,Attributes LIC_NAME MUSTAFA HOLDINGS PTE LTD  BLK_HOUSE 147  STR_NAME SYED ALWI ROAD  UNIT_NO   POSTCODE 207706  LIC_NO W03142N000  INC_CRC 774A8FF4716A0468  FMEL_UPD_D 20171129183654 ,POINT Z (103.855701594507 1.30975274714546 0)
54,kml_55,Attributes LIC_NAME SUPERNATURE PTE LTD  BLK_HOUSE 583  STR_NAME ORCHARD ROAD  UNIT_NO   POSTCODE 238884  LIC_NO CE13539N000  INC_CRC 1CBCEAA88F882DA8  FMEL_UPD_D 20171129183654 ,POINT Z (103.828509016301 1.30619579913532 0)
55,kml_56,Attributes LIC_NAME HUBER'S PTE. LTD.  BLK_HOUSE 22  STR_NAME DEMPSEY ROAD  UNIT_NO   POSTCODE 249679  LIC_NO CE15F60K000  INC_CRC 806CEE3EA9FC3627  FMEL_UPD_D 20171129183654 ,POINT Z (103.810185824202 1.30679240718754 0)
56,kml_57,Attributes LIC_NAME MEAT THE BUTCHER PTE. LTD.  BLK_HOUSE 615  STR_NAME BUKIT TIMAH ROAD  UNIT_NO   POSTCODE 269716  LIC_NO C00033N000  INC_CRC ED02CBDEA21A897A  FMEL_UPD_D 20171129183654 ,POINT Z (103.809357938829 1.32437350966463 0)
57,kml_58,Attributes LIC_NAME YEO KENG GUAN  BLK_HOUSE 5  STR_NAME RIDGEWOOD CLOSE  UNIT_NO   POSTCODE 276696  LIC_NO C02052N000  INC_CRC 12BAB587D1D0035D  FMEL_UPD_D 20171129183654 ,POINT Z (103.778947263616 1.31661898336453 0)
58,kml_59,Attributes LIC_NAME COLD STORAGE SINGAPORE (1983) PTE LTD  BLK_HOUSE 293  STR_NAME HOLLAND ROAD  UNIT_NO   POSTCODE 278628  LIC_NO C02025V000  INC_CRC E3AE1F03B1EBFB54  FMEL_UPD_D 20171129183654 ,POINT Z (103.785840623813 1.31756196835644 0)
59,kml_60,Attributes LIC_NAME COLD STORAGE SINGAPORE (1983) PTE LTD  BLK_HOUSE 20  STR_NAME GREENWOOD AVENUE  UNIT_NO   POSTCODE 289215  LIC_NO CE09685B000  INC_CRC E1A69FE0E5A1E4B6  FMEL_UPD_D 20171129183654 ,POINT Z (103.806809259373 1.33149147155619 0)
60,kml_61,Attributes LIC_NAME COLD STORAGE SINGAPORE (1983) PTE LTD  BLK_HOUSE 291  STR_NAME YISHUN STREET 22  UNIT_NO 389/3  POSTCODE 760291  LIC_NO NW04015N000  INC_CRC 8914CCFB5EC74BBA  FMEL_UPD_D 20180711174048 ,POINT Z (103.836723882475 1.43576080071655 0)
61,kml_62,Attributes LIC_NAME CHD @ SOON LEE PTE. LTD.  BLK_HOUSE 51  STR_NAME SOON LEE ROAD  UNIT_NO 51A  POSTCODE 628088  LIC_NO SW08A55C000  INC_CRC BE1B6F516F25A541  FMEL_UPD_D 20180711174048 ,POINT Z (103.699070270739 1.33212290136628 0)
62,kml_63,Attributes LIC_NAME SHENG SIONG SUPERMARKET PTE LTD  BLK_HOUSE 3  STR_NAME YUAN CHING ROAD  UNIT_NO   POSTCODE 618642  LIC_NO C02050X000  INC_CRC E6AE4186735FA316  FMEL_UPD_D 20180711174048 ,POINT Z (103.725221546037 1.32546808409855 0)
63,kml_64,Attributes LIC_NAME MD SYDUR RAHMAN  BLK_HOUSE 13  STR_NAME TUAS SOUTH STREET 5  UNIT_NO 1  POSTCODE 637555  LIC_NO SW08047V000  INC_CRC B4422DB91B36391B  FMEL_UPD_D 20180711174048 ,POINT Z (103.626729263079 1.29501368647394 0)
64,kml_65,Attributes LIC_NAME 7SEVEN PTE. LTD.  BLK_HOUSE 51  STR_NAME NORTH COAST AVENUE  UNIT_NO 3  POSTCODE 756992  LIC_NO NW14561E000  INC_CRC 12414EE8F62DE271  FMEL_UPD_D 20180222094454 ,POINT Z (103.786436916899 1.45605972594988 0)
65,kml_66,Attributes LIC_NAME COLD STORAGE SINGAPORE (1983) PTE LTD  BLK_HOUSE 1  STR_NAME FUSIONOPOLIS WAY  UNIT_NO 3  POSTCODE 138632  LIC_NO SW17E56V000  INC_CRC 9E0F71EB5EF428DE  FMEL_UPD_D 20180222094454 ,POINT Z (103.787404060028 1.29929406658312 0)
66,kml_67,Attributes LIC_NAME SHENG SIONG SUPERMARKET PTE LTD  BLK_HOUSE 105  STR_NAME CANBERRA STREET  UNIT_NO 5  POSTCODE 750105  LIC_NO NW18021V000  INC_CRC 3F32EA93C85A7792  FMEL_UPD_D 20180222094454 ,POINT Z (103.832392856092 1.44886402051704 0)
67,kml_68,Attributes LIC_NAME U STARS PTE. LTD.  BLK_HOUSE 691  STR_NAME WOODLANDS DRIVE 73  UNIT_NO 6  POSTCODE 730691  LIC_NO NW17990N000  INC_CRC 556F179A4065EAA6  FMEL_UPD_D 20180222094454 ,POINT Z (103.806198058319 1.44062992233001 0)
68,kml_69,Attributes LIC_NAME SHENG SIONG SUPERMARKET PTE LTD  BLK_HOUSE 338  STR_NAME ANCHORVALE CRESCENT  UNIT_NO 11  POSTCODE 540338  LIC_NO CE17Q33A000  INC_CRC 282C68222EDC4F50  FMEL_UPD_D 20180222094454 ,POINT Z (103.889653921063 1.39922856580931 0)
69,kml_70,Attributes LIC_NAME SHENG SIONG SUPERMARKET PTE LTD  BLK_HOUSE 417  STR_NAME FERNVALE LINK  UNIT_NO 11  POSTCODE 790417  LIC_NO CE17Q32B000  INC_CRC DB116D0680A58A14  FMEL_UPD_D 20180222094454 ,POINT Z (103.879872489529 1.39158704139214 0)
70,kml_71,Attributes LIC_NAME BHANDARI INTERNATIONAL PTE. LTD.  BLK_HOUSE 280  STR_NAME WOODLANDS INDUSTRIAL PARK E5 (PART OF)  UNIT_NO 47  POSTCODE 757322  LIC_NO NW17277E000  INC_CRC 754CC3104AD59F36  FMEL_UPD_D 20180222094454 ,POINT Z (103.791095177079 1.45132505304739 0)
71,kml_72,Attributes LIC_NAME SHENG SIONG SUPERMARKET PTE LTD  BLK_HOUSE 4  STR_NAME WOODLANDS STREET 12  UNIT_NO 61  POSTCODE 738623  LIC_NO NW17734V000  INC_CRC D150643A0053994F  FMEL_UPD_D 20180222094454 ,POINT Z (103.779746864012 1.43351253350403 0)
72,kml_73,Attributes LIC_NAME WAN SIEW YOONG  BLK_HOUSE 4  STR_NAME SAGO LANE  UNIT_NO 103  POSTCODE 50004  LIC_NO W02099P000  INC_CRC 1559F07415BB5C46  FMEL_UPD_D 20180222094454 ,POINT Z (103.842908168065 1.28180062455801 0)
73,kml_74,Attributes LIC_NAME HAO MART PTE. LTD.  BLK_HOUSE 17  STR_NAME JALAN TENTERAM  UNIT_NO 128  POSTCODE 321017  LIC_NO CE17M26A000  INC_CRC B981FFC6E81C1DDE  FMEL_UPD_D 20180222094454 ,POINT Z (103.859812582011 1.3282116947432 0)
74,kml_75,Attributes LIC_NAME MCP FAIRMART PTE LTD  BLK_HOUSE BLK 371  STR_NAME BUKIT BATOK STREET 31  UNIT_NO 324  POSTCODE 650371  LIC_NO J92067N000  INC_CRC 3FE8C9104F3EC555  FMEL_UPD_D 20180222094454 ,POINT Z (103.75069463728 1.35925940699667 0)
75,kml_76,Attributes LIC_NAME HAO MART PTE. LTD.  BLK_HOUSE 146  STR_NAME JALAN BUKIT MERAH  UNIT_NO 1074  POSTCODE 160146  LIC_NO CE17M36X000  INC_CRC EF320255C834747A  FMEL_UPD_D 20180222094454 ,POINT Z (103.830811469037 1.27784876908556 0)
76,kml_77,Attributes LIC_NAME PAN PACIFIC INTERNATIONAL HOLDINGS PTE. LTD.  BLK_HOUSE 181  STR_NAME ORCHARD ROAD  UNIT_NO 1/3  POSTCODE 238896  LIC_NO CE17L45A000  INC_CRC 5DFD558C714597C1  FMEL_UPD_D 20180222094454 ,POINT Z (103.839434735426 1.3008389164153 0)
77,kml_78,Attributes LIC_NAME COLD STORAGE SINGAPORE (1983) PTE LTD  BLK_HOUSE 60  STR_NAME PAYA LEBAR ROAD  UNIT_NO 1/5  POSTCODE 409051  LIC_NO SE14A83A000  INC_CRC 74BC8EE7FCF50851  FMEL_UPD_D 20180222094454 ,POINT Z (103.892550605327 1.31867575851382 0)
78,kml_79,Attributes LIC_NAME COLD STORAGE SINGAPORE (1983) PTE LTD  BLK_HOUSE 370  STR_NAME ALEXANDRA ROAD  UNIT_NO 3/7  POSTCODE 159953  LIC_NO CE07569B000  INC_CRC 28E3628D372CD284  FMEL_UPD_D 20180222094454 ,POINT Z (103.805009970565 1.2886146910195 0)
79,kml_80,Attributes LIC_NAME COLD STORAGE SINGAPORE (1983) PTE LTD  BLK_HOUSE 930  STR_NAME YISHUN AVENUE 2  UNIT_NO 6/7  POSTCODE 769098  LIC_NO NW08314K000  INC_CRC CABE56043689DB83  FMEL_UPD_D 20180222094454 ,POINT Z (103.835776497586 1.42969848150358 0)
80,kml_81,Attributes LIC_NAME COLD STORAGE SINGAPORE (1983) PTE LTD  BLK_HOUSE 205  STR_NAME HOUGANG STREET 21  UNIT_NO 133  POSTCODE 530205  LIC_NO S02024X000  INC_CRC 94714536A765270E  FMEL_UPD_D 20171129183653 ,POINT Z (103.885079928732 1.35949663830554 0)
81,kml_82,Attributes LIC_NAME SHENG SIONG SUPERMARKET PTE LTD  BLK_HOUSE 720  STR_NAME CLEMENTI WEST STREET 2  UNIT_NO 144  POSTCODE 120720  LIC_NO SW05051J000  INC_CRC 762A0F132FD34AA8  FMEL_UPD_D 20171129183653 ,POINT Z (103.763750974319 1.30246409193291 0)
82,kml_83,Attributes LIC_NAME PRIME SUPERMARKET LIMITED  BLK_HOUSE 803  STR_NAME KING GEORGE'S AVENUE  UNIT_NO 154  POSTCODE 200803  LIC_NO E02042P000  INC_CRC CEECC163A7FA68F8  FMEL_UPD_D 20171129183653 ,POINT Z (103.860912787999 1.3083652684116 0)
83,kml_84,Attributes LIC_NAME PRIME SUPERMARKET LIMITED  BLK_HOUSE 823  STR_NAME TAMPINES STREET 81  UNIT_NO 160  POSTCODE 520823  LIC_NO S02040X000  INC_CRC 10B92B6613DF8B9A  FMEL_UPD_D 20171129183653 ,POINT Z (103.934010241001 1.34873284070164 0)
